frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,a129f3d1,dd9ac152,111,0
7,888583,8,a129f3d1,e03c1aec,174,0
8,987247,9,a129f3d1,e03c1aec,237,0
9,1085911,10,a129f3d1,e03c1aec,300,0
10,1184575,11,a129f3d1,e03c1aec,363,0
11,1283239,12,a129f3d1,e03c1aec,426,0
12,1381903,13,a129f3d1,e03c1aec,489,0
13,1480567,14,a129f3d1,e03c1aec,552,0
14,1579231,15,a129f3d1,e03c1aec,615,0
15,1677895,16,a129f3d1,e03c1aec,678,0
16,1776559,17,a129f3d1,e03c1aec,741,0
17,1875223,18,a129f3d1,e03c1aec,804,0
